file_name,error,cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00041.java,0,"CWE-79,CWE-16",356,0.00089,0,0.0,9,9e-05,0.00098,5.5180604457855225
BenchmarkTest00047.java,0,"CWE-79,CWE-117",476,0.00119,0,0.0,9,9e-05,0.00128,5.515017986297607
BenchmarkTest00051.java,0,CWE-78,462,0.001155,0,0.0,5,5e-05,0.001205,5.51372218132019
BenchmarkTest00040.java,0,"CWE-22,CWE-73",410,0.001025,0,0.0,9,9e-05,0.001115,5.5262086391448975
BenchmarkTest00006.java,0,CWE-78,472,0.00118,0,0.0,5,5e-05,0.00123,5.586599349975586
BenchmarkTest00012.java,0,"CWE-90,CWE-79",733,0.0018325,0,0.0,9,9e-05,0.0019225,5.576117277145386
BenchmarkTest00052.java,0,"CWE-89,CWE-601",457,0.0011425,0,0.0,9,9e-05,0.0012325,5.539079189300537
BenchmarkTest00044.java,0,"CWE-90,CWE-79",673,0.0016825,0,0.0,9,9e-05,0.0017725,5.547243118286133
BenchmarkTest00049.java,0,"CWE-79,CWE-116",469,0.0011725,0,0.0,9,9e-05,0.0012625,5.542626619338989
BenchmarkTest00014.java,0,"CWE-79,CWE-116",355,0.0008875,0,0.0,9,9e-05,0.0009775,5.594628810882568
BenchmarkTest00021.java,0,"CWE-90,CWE-79",674,0.001685,0,0.0,9,9e-05,0.001775,5.589505672454834
BenchmarkTest00032.java,0,"CWE-89,CWE-79",463,0.0011575,0,0.0,9,9e-05,0.0012475,5.578267335891724
BenchmarkTest00018.java,0,"CWE-89,CWE-116,CWE-601",437,0.0010925,0,0.0,13,0.00013,0.0012224999999999998,5.609897613525391
BenchmarkTest00007.java,0,"CWE-78,CWE-20,CWE-117",435,0.0010875,0,0.0,13,0.00013,0.0012174999999999998,5.628429174423218
BenchmarkTest00030.java,0,"CWE-79,CWE-116,CWE-20",348,0.00087,0,0.0,13,0.00013,0.001,5.598744630813599
BenchmarkTest00027.java,0,"CWE-89,CWE-601,CWE-209",400,0.001,0,0.0,13,0.00013,0.00113,5.605846166610718
BenchmarkTest00036.java,0,"CWE-79,CWE-16,CWE-20",433,0.0010825,0,0.0,13,0.00013,0.0012124999999999998,5.577350616455078
BenchmarkTest00026.java,0,"CWE-89,CWE-79",500,0.00125,0,0.0,9,9e-05,0.00134,5.610137224197388
