model,prompt,test_name,cwe,tp,fp,tn,fn
DeepSeek-V3-0324,cot,BenchmarkTest00001.java,CWE-22,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00002.java,CWE-22,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00003.java,CWE-328,0,0,0,1
DeepSeek-V3-0324,cot,BenchmarkTest00005.java,CWE-327,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00006.java,CWE-78,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00007.java,CWE-78,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00008.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00009.java,CWE-328,0,0,1,0
DeepSeek-V3-0324,cot,BenchmarkTest00010.java,CWE-330,0,0,1,0
DeepSeek-V3-0324,cot,BenchmarkTest00011.java,CWE-22,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00012.java,CWE-90,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00013.java,CWE-79,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00014.java,CWE-79,0,0,0,1
DeepSeek-V3-0324,cot,BenchmarkTest00015.java,CWE-78,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00016.java,CWE-614,0,0,1,0
DeepSeek-V3-0324,cot,BenchmarkTest00017.java,CWE-78,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00018.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00019.java,CWE-327,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00020.java,CWE-327,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00021.java,CWE-90,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00022.java,CWE-328,0,0,1,0
DeepSeek-V3-0324,cot,BenchmarkTest00023.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00024.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00025.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00026.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00027.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00028.java,CWE-22,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00029.java,CWE-328,0,0,0,1
DeepSeek-V3-0324,cot,BenchmarkTest00030.java,CWE-79,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00032.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00033.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00034.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00035.java,CWE-327,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00036.java,CWE-79,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00037.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00038.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00039.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00040.java,CWE-22,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00041.java,CWE-79,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00042.java,CWE-330,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00043.java,CWE-89,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00044.java,CWE-90,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00045.java,CWE-22,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00046.java,CWE-328,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00047.java,CWE-79,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00048.java,CWE-79,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00049.java,CWE-79,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00050.java,CWE-327,0,0,0,1
DeepSeek-V3-0324,cot,BenchmarkTest00051.java,CWE-78,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00052.java,CWE-89,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00053.java,CWE-327,0,0,0,1
DeepSeek-V3-0324,cot,BenchmarkTest00054.java,CWE-327,0,0,1,0
DeepSeek-V3-0324,cot,BenchmarkTest00055.java,CWE-327,0,0,0,1
DeepSeek-V3-0324,cot,BenchmarkTest00056.java,CWE-327,0,0,0,1
DeepSeek-V3-0324,cot,BenchmarkTest00057.java,CWE-327,0,0,0,1
DeepSeek-V3-0324,cot,BenchmarkTest00058.java,CWE-327,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00059.java,CWE-327,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00060.java,CWE-22,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00061.java,CWE-22,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00062.java,CWE-22,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00063.java,CWE-22,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00064.java,CWE-22,0,1,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00065.java,CWE-22,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00066.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00067.java,CWE-330,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00068.java,CWE-330,0,0,0,1
DeepSeek-V3-0324,cot,BenchmarkTest00069.java,CWE-328,0,0,1,0
DeepSeek-V3-0324,cot,BenchmarkTest00070.java,CWE-328,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00071.java,CWE-328,1,0,0,0
DeepSeek-V3-0324,cot,BenchmarkTest00072.java,CWE-328,0,0,1,0
DeepSeek-V3-0324,cot,BenchmarkTest00073.java,CWE-328,0,0,0,1
DeepSeek-V3-0324,cot,BenchmarkTest00074.java,CWE-328,0,0,0,1
