file_name,is_real_vulnerability,error,correct_cwe,matched_cwe,direct_match,tp,fp,tn,fn,found_cwes,input_token,input_cost,reasoning_token,reasoning_cost,output_token,output_cost,total_cost,analysis_time
BenchmarkTest00001.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-200,CWE-209",713,0.00017825,1536,0.003072,22,4.4e-05,0.00329425,27.937852382659912
BenchmarkTest00002.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-73",604,0.000151,1344,0.002688,18,3.6e-05,0.002875,29.811765909194943
BenchmarkTest00003.java,1,0,CWE-328,,,0,0,0,1,"CWE-798,CWE-200,CWE-312",874,0.0002185,3008,0.006016,22,4.4e-05,0.0062784999999999,36.94193935394287
BenchmarkTest00005.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-209,CWE-200,CWE-532",810,0.0002025,2240,0.00448,26,5.2e-05,0.0047344999999999,30.80685257911682
BenchmarkTest00006.java,1,0,CWE-78,CWE-78,1,1,0,0,0,"CWE-78,CWE-79,CWE-20,CWE-200",471,0.00011775,1024,0.002048,26,5.2e-05,0.0022177499999999,21.97509527206421
BenchmarkTest00007.java,1,0,CWE-78,,,0,0,0,1,CWE-427,434,0.0001085,1344,0.002688,14,2.8e-05,0.0028244999999999,26.401106357574463
BenchmarkTest00008.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-209,CWE-772",429,0.00010725,896,0.001792,22,4.4e-05,0.0019432499999999,22.5264630317688
BenchmarkTest00009.java,0,0,CWE-328,,,0,0,1,0,"CWE-759,CWE-732,CWE-313",847,0.00021175,2944,0.005888,22,4.4e-05,0.00614375,35.64609718322754
BenchmarkTest00010.java,0,0,CWE-330,CWE-330,1,0,1,0,0,"CWE-330,CWE-200",782,0.0001955,1984,0.003968,18,3.6e-05,0.0041995,28.27518057823181
BenchmarkTest00011.java,1,0,CWE-22,CWE-22,1,1,0,0,0,"CWE-22,CWE-200",424,0.000106,704,0.001408,18,3.6e-05,0.00155,20.24805450439453
BenchmarkTest00012.java,1,0,CWE-90,CWE-90,1,1,0,0,0,"CWE-90,CWE-79",732,0.000183,896,0.001792,18,3.6e-05,0.002011,22.52757048606873
BenchmarkTest00013.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-79,CWE-134",357,8.925e-05,640,0.00128,18,3.6e-05,0.00140525,19.795461177825928
BenchmarkTest00014.java,1,0,CWE-79,CWE-79,1,1,0,0,0,"CWE-134,CWE-79",354,8.85e-05,896,0.001792,18,3.6e-05,0.0019165,22.51320958137512
BenchmarkTest00015.java,1,0,CWE-78,CWE-78,1,1,0,0,0,"CWE-78,CWE-79",483,0.00012075,512,0.001024,18,3.6e-05,0.00118075,19.746419191360477
BenchmarkTest00016.java,0,0,CWE-614,,,0,0,1,0,CWE-113,554,0.0001385,1152,0.002304,15,3e-05,0.0024725,22.12069082260132
BenchmarkTest00017.java,1,0,CWE-78,CWE-78,1,1,0,0,0,CWE-78,451,0.00011275,640,0.00128,14,2.8e-05,0.00142075,21.97495198249817
BenchmarkTest00018.java,1,0,CWE-89,CWE-89,1,1,0,0,0,"CWE-89,CWE-79,CWE-209,CWE-312",436,0.000109,1280,0.00256,26,5.2e-05,0.002721,26.71278166770935
BenchmarkTest00019.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-209,CWE-200",766,0.0001915,2240,0.00448,22,4.4e-05,0.0047154999999999,33.542784690856934
BenchmarkTest00020.java,1,0,CWE-327,CWE-327,1,1,0,0,0,"CWE-327,CWE-209",1141,0.00028525,1600,0.0032,18,3.6e-05,0.00352125,28.731025218963623
BenchmarkTest00021.java,1,0,CWE-90,CWE-90,1,1,0,0,0,"CWE-90,CWE-79",673,0.00016825,640,0.00128,18,3.6e-05,0.00148425,21.47608971595764
BenchmarkTest00022.java,0,0,CWE-328,CWE-327,0,0,1,0,0,"CWE-327,CWE-400,CWE-352",654,0.0001635,1792,0.003584,22,4.4e-05,0.0037915,31.281262397766117
